City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,margate,51.3813,1.3862,4.27,68,8,0.89,GB,1736435528
137,albu kamal,34.45,40.9186,13.58,40,59,2.16,SY,1736435529
138,zalanga,10.6143,10.1765,29.35,12,3,4.43,NG,1736435530
139,minas de marcona,-15.2119,-75.1103,20.96,54,40,5.13,PE,1736435532
140,margaret river,-33.95,115.0667,16.04,73,100,3.54,AU,1736435533
141,broken hill,-31.95,141.4333,24.69,37,1,5.02,AU,1736435534
142,las heras,-46.5419,-68.9359,16.39,23,1,4.07,AR,1736435535
143,santa cruz,-17.8,-63.1667,26.7,78,75,2.57,BO,1736435310
144,starobin,52.7267,27.4606,2.95,89,100,6.79,BY,1736435537
145,bilibino,68.0546,166.4372,-30.61,98,100,0.98,RU,1736435538
146,tsiombe,-25.3,45.4833,28.6,65,61,4.6,MG,1736435539
147,tommot,58.9564,126.2925,-33.86,99,52,0.29,RU,1736435541
148,datong,40.0936,113.2914,-11.23,46,6,1.31,CN,1736435542
149,lebu,-37.6167,-73.65,16.19,73,2,7.98,CL,1736435543
150,piton saint-leu,-21.2196,55.3151,27.06,70,75,1.54,RE,1736435544
151,nokha,27.6,73.4167,17.91,18,0,4.37,IN,1736435545
152,chegdomyn,51.1167,133.0167,-26.36,100,55,0.8,RU,1736435546
153,nantucket,41.2835,-70.0995,-3.94,54,100,10.29,US,1736435409
154,kingston,17.997,-76.7936,28.53,70,20,3.6,JM,1736435477
155,al minya,28.1099,30.7503,19.3,33,0,1.81,EG,1736435551
156,pisco,-13.7,-76.2167,23.03,64,0,3.6,PE,1736435552
157,gisborne,-38.6533,178.0042,14.18,79,100,5.35,NZ,1736435553
158,bay saint louis,30.3088,-89.33,3.37,60,0,4.63,US,1736435554
159,beyneu,45.3167,55.2,-1.37,56,6,7.57,KZ,1736435555
160,playas,-2.6333,-80.3833,23.69,87,100,2.6,EC,1736435556
161,vorkuta,67.5,64.0,-13.85,83,100,7.0,RU,1736435557
162,kone,-21.0595,164.8658,23.23,80,92,1.83,NC,1736435558
163,sisimiut,66.9395,-53.6735,-12.8,84,60,5.54,GL,1736435559
164,west island,-12.1568,96.8225,25.99,94,75,4.63,CC,1736435562
165,maues,-3.3836,-57.7186,27.72,85,98,1.16,BR,1736435563
166,kalix,65.853,23.1565,-12.87,90,100,1.39,SE,1736435564
167,kismayo,-0.3582,42.5454,26.22,79,91,6.04,SO,1736435475
168,hirara,24.8,125.2833,16.05,73,100,13.2,JP,1736435566
169,san patricio,28.017,-97.5169,6.97,64,100,5.1,US,1736435567
170,winnemucca,40.973,-117.7357,-9.97,79,0,2.57,US,1736435401
171,lubang,13.8584,120.124,26.63,73,57,12.05,PH,1736435569
172,touros,-5.1989,-35.4608,30.65,60,54,6.09,BR,1736435570
173,labytnangi,66.6572,66.4183,-17.74,98,100,3.08,RU,1736435571
174,barcelos,41.5388,-8.6151,15.3,89,82,3.78,PT,1736435305
175,talnakh,69.4865,88.3972,-26.58,98,36,1.07,RU,1736435574
176,xiuyan,40.2928,123.2744,-12.14,61,0,2.21,CN,1736435483
177,luena,-11.7833,19.9167,22.2,78,100,0.25,AO,1736435576
178,posse,-14.0931,-46.3694,21.44,92,100,1.12,BR,1736435577
179,aydincik,36.1437,33.3202,15.98,59,100,2.65,TR,1736435578
180,dolni chiflik,42.9833,27.7167,14.05,78,6,2.76,BG,1736435579
181,monguno,12.6786,13.6079,25.06,24,21,4.79,NG,1736435317
182,brisas barra de suchiate,14.55,-92.2167,26.86,65,38,1.12,MX,1736435581
183,aasiaat,68.7098,-52.8699,-14.48,90,88,4.92,GL,1736435582
184,iskateley,67.6803,53.1512,-8.06,94,100,6.78,RU,1736435583
185,eyl,7.9803,49.8164,24.22,68,60,9.98,SO,1736435585
186,puerto ayacucho,5.6639,-67.6236,32.35,49,42,0.77,VE,1736435586
187,newman,37.3138,-121.0208,6.57,61,0,1.21,US,1736435587
188,novaya ladoga,60.1025,32.3019,-0.85,97,100,4.47,RU,1736435588
189,glace bay,46.1969,-59.957,-0.57,90,75,6.17,CA,1736435506
190,sao vicente,-23.9631,-46.3919,26.66,26,55,2.24,BR,1736435590
191,namibe,-15.1961,12.1522,23.33,71,100,5.2,AO,1736435591
192,east london,-33.0153,27.9116,27.52,65,0,6.69,ZA,1736435592
193,fortuna,40.5982,-124.1573,5.51,100,0,5.14,US,1736435594
194,yuzhno-kurilsk,44.0306,145.8556,-3.6,79,51,1.32,RU,1736435597
195,sokoni,-6.4333,39.55,27.85,70,3,4.62,TZ,1736435598
196,oroqen zizhiqi,50.5667,123.7167,-24.24,99,18,1.87,CN,1736435600
197,udachny,66.4167,112.4,-18.51,100,100,1.6,RU,1736435601
198,kuala belait,4.5833,114.1833,25.73,90,100,3.44,BN,1736435602
199,pontes e lacerda,-15.2261,-59.3353,30.15,59,100,2.6,BR,1736435603
200,rabo de peixe,37.8,-25.5833,18.73,94,75,8.23,PT,1736435604
201,ta`u,-14.2336,-169.5144,27.69,79,100,9.46,AS,1736435605
202,la'ie,21.6477,-157.9253,22.66,94,100,0.89,US,1736435606
203,queenstown,-31.8976,26.8753,33.96,17,14,5.41,ZA,1736435608
204,sao felix do xingu,-6.6447,-51.995,25.51,93,98,0.87,BR,1736435609
205,tianpeng,30.9866,103.9393,7.33,72,99,1.19,CN,1736435610
206,afaahiti,-17.75,-149.2833,26.79,73,100,4.56,PF,1736435611
207,pita,10.8333,-12.5833,36.52,11,98,2.41,GN,1736435612
208,pakuranga,-36.8833,174.9167,18.47,77,75,1.54,NZ,1736435613
209,canmore,51.0834,-115.3521,-6.94,79,72,1.54,CA,1736435614
210,wuzhou,23.4833,111.3167,9.86,60,83,2.22,CN,1736435615
211,iguape,-24.7081,-47.5553,24.87,76,29,4.97,BR,1736435616
212,nova vicosa,-17.8919,-39.3719,29.31,63,100,4.93,BR,1736435617
213,gereida,11.2811,25.1414,32.42,9,8,2.83,SD,1736435618
214,rongelap,11.1635,166.8941,27.14,80,33,11.38,MH,1736435620
215,ust-nera,64.5667,143.2,-29.61,99,100,2.3,RU,1736435621
216,tralee,52.2704,-9.7026,0.14,100,40,1.54,IE,1736435622
217,castillos,-34.1667,-53.8333,26.42,43,93,5.03,UY,1736435623
218,pastos bons,-6.6017,-44.0767,27.82,69,100,2.68,BR,1736435624
